mlst_profile,count
kpsc ST4586,2
kpsc ST528,2
kpsc ST65,2
kpsc ST661,2
kpsc ST661-1LV,2
kpsc ST792,2
kpsc ST882,2
kpsc ST938,2
kpsc ST966,2
kosc ST157,3
kosc ST88,3
kpsc ST1411,3
kpsc ST198,3
kpsc ST250,3
kpsc ST323,3
kpsc ST36,3
kpsc ST380,3
kpsc ST39,3
kpsc ST412,3
kpsc ST449,3
kosc ST37,4
kpsc ST133,4
kpsc ST37,4
kpsc ST6,4
kpsc ST35,5
kpsc ST461,5
kpsc ST834,5
kpsc ST20,6
kpsc ST25,6
kpsc ST13,7
kpsc ST870,7
kpsc ST17,8
kpsc ST23,8
kpsc ST307,8
kpsc ST54,8
kpsc ST29,10
kpsc ST14,12
kpsc ST45,15
